y_code,max_y_rdate,k_features
DSPIC96_diff_lag_1,2019-06-01,13
DSPIC96_perc_diff_lag_1,2019-06-01,14
PCEC96_perc_diff_lag_1,2019-06-01,30
PCEC96_diff_lag_1,2019-06-01,16
TCU,2019-06-01,27
TCU_diff_lag_1,2019-06-01,14
BOPTIMP_diff_lag_1,2019-06-01,11
BOPTIMP_perc_diff_lag_1,2019-06-01,20
PAYEMS_diff_lag_1,2019-06-01,11
RRSFS_perc_diff_lag_1,2019-06-01,17
RRSFS_diff_lag_1,2019-06-01,20
INDPRO_perc_diff_lag_1,2019-06-01,24
INDPRO_diff_lag_1,2019-06-01,18
BOPTEXP_diff_lag_1,2019-06-01,14
BOPTEXP_perc_diff_lag_1,2019-06-01,23
CPALTT01USM657N,2019-06-01,18
AMDMVS_diff_lag_1,2019-06-01,19
DSPIC96_perc_diff_lag_1,2022-02-01,13
PCEC96_diff_lag_1,2022-02-01,14
PCEC96_perc_diff_lag_1,2022-02-01,15
INVCMRMT_perc_diff_lag_1,2022-02-01,18
INVCMRMT_diff_lag_1,2022-02-01,11
TCU,2022-02-01,24
TCU_diff_lag_1,2022-02-01,21
BOPTIMP_perc_diff_lag_1,2022-02-01,13
BOPTIMP_diff_lag_1,2022-02-01,11
PAYEMS_diff_lag_1,2022-02-01,77
RRSFS_perc_diff_lag_1,2022-02-01,14
RRSFS_diff_lag_1,2022-02-01,15
INDPRO_perc_diff_lag_1,2022-02-01,15
INDPRO_diff_lag_1,2022-02-01,12
BOPTEXP_perc_diff_lag_1,2022-02-01,16
BOPTEXP_diff_lag_1,2022-02-01,21
CPALTT01USM657N,2022-02-01,11
UNRATE,2022-02-01,77
UNRATE_diff_lag_1,2022-02-01,77
AMDMVS_diff_lag_1,2022-02-01,13
DSPIC96_diff_lag_1,2021-10-01,11
PCEC96_diff_lag_1,2021-10-01,15
PCEC96_perc_diff_lag_1,2021-10-01,12
INVCMRMT_diff_lag_1,2021-10-01,19
INVCMRMT_perc_diff_lag_1,2021-10-01,17
TCU_diff_lag_1,2021-10-01,19
TCU,2021-10-01,15
BOPTIMP_diff_lag_1,2021-10-01,16
PAYEMS_diff_lag_1,2021-10-01,27
RRSFS_diff_lag_1,2021-10-01,12
RRSFS_perc_diff_lag_1,2021-10-01,18
INDPRO_diff_lag_1,2021-10-01,25
INDPRO_perc_diff_lag_1,2021-10-01,18
BOPTEXP_diff_lag_1,2021-10-01,12
CPALTT01USM657N,2021-10-01,18
UNRATE,2021-10-01,23
UNRATE_diff_lag_1,2021-10-01,25
AMDMVS_diff_lag_1,2021-10-01,16
DSPIC96_diff_lag_1,2021-07-01,18
DSPIC96_perc_diff_lag_1,2021-07-01,21
PCEC96_diff_lag_1,2021-07-01,20
PCEC96_perc_diff_lag_1,2021-07-01,16
INVCMRMT_diff_lag_1,2021-07-01,14
TCU_diff_lag_1,2021-07-01,12
BOPTIMP_diff_lag_1,2021-07-01,21
BOPTIMP_perc_diff_lag_1,2021-07-01,11
PAYEMS_diff_lag_1,2021-07-01,26
RRSFS_diff_lag_1,2021-07-01,18
RRSFS_perc_diff_lag_1,2021-07-01,14
INDPRO_diff_lag_1,2021-07-01,12
INDPRO_perc_diff_lag_1,2021-07-01,11
BOPTEXP_perc_diff_lag_1,2021-07-01,15
BOPTEXP_diff_lag_1,2021-07-01,15
UNRATE,2021-07-01,21
UNRATE_diff_lag_1,2021-07-01,19
AMDMVS_diff_lag_1,2021-07-01,13
DSPIC96_diff_lag_1,2018-07-01,17
DSPIC96_perc_diff_lag_1,2018-07-01,20
PCEC96_diff_lag_1,2018-07-01,11
PCEC96_perc_diff_lag_1,2018-07-01,17
INVCMRMT_diff_lag_1,2018-07-01,15
TCU,2018-07-01,17
TCU_diff_lag_1,2018-07-01,30
BOPTIMP_diff_lag_1,2018-07-01,11
BOPTIMP_perc_diff_lag_1,2018-07-01,12
RRSFS_perc_diff_lag_1,2018-07-01,13
RRSFS_diff_lag_1,2018-07-01,14
INDPRO_diff_lag_1,2018-07-01,22
INDPRO_perc_diff_lag_1,2018-07-01,11
BOPTEXP_diff_lag_1,2018-07-01,11
BOPTEXP_perc_diff_lag_1,2018-07-01,16
CPALTT01USM657N,2018-07-01,13
AMDMVS_diff_lag_1,2018-07-01,15
DSPIC96_perc_diff_lag_1,2023-03-01,16
DSPIC96_diff_lag_1,2023-03-01,12
PCEC96_diff_lag_1,2023-03-01,22
PCEC96_perc_diff_lag_1,2023-03-01,11
INVCMRMT_perc_diff_lag_1,2023-03-01,16
INVCMRMT_diff_lag_1,2023-03-01,16
TCU,2023-03-01,12
TCU_diff_lag_1,2023-03-01,17
BOPTIMP_diff_lag_1,2023-03-01,11
BOPTIMP_perc_diff_lag_1,2023-03-01,16
PAYEMS_diff_lag_1,2023-03-01,12
RRSFS_diff_lag_1,2023-03-01,21
INDPRO_diff_lag_1,2023-03-01,11
INDPRO_perc_diff_lag_1,2023-03-01,13
BOPTEXP_diff_lag_1,2023-03-01,11
BOPTEXP_perc_diff_lag_1,2023-03-01,15
CPALTT01USM657N,2023-03-01,19
UNRATE_diff_lag_1,2023-03-01,11
AMDMVS_diff_lag_1,2023-03-01,13
DSPIC96_diff_lag_1,2020-12-01,24
DSPIC96_perc_diff_lag_1,2020-12-01,17
PCEC96_diff_lag_1,2020-12-01,21
PCEC96_perc_diff_lag_1,2020-12-01,16
INVCMRMT_diff_lag_1,2020-12-01,19
INVCMRMT_perc_diff_lag_1,2020-12-01,17
TCU_diff_lag_1,2020-12-01,28
TCU,2020-12-01,17
BOPTIMP_diff_lag_1,2020-12-01,14
BOPTIMP_perc_diff_lag_1,2020-12-01,17
PAYEMS_diff_lag_1,2020-12-01,32
RRSFS_perc_diff_lag_1,2020-12-01,15
RRSFS_diff_lag_1,2020-12-01,11
INDPRO_perc_diff_lag_1,2020-12-01,17
INDPRO_diff_lag_1,2020-12-01,11
BOPTEXP_diff_lag_1,2020-12-01,18
BOPTEXP_perc_diff_lag_1,2020-12-01,15
CPALTT01USM657N,2020-12-01,14
UNRATE_diff_lag_1,2020-12-01,18
UNRATE,2020-12-01,19
AMDMVS_diff_lag_1,2020-12-01,11
DSPIC96_diff_lag_1,2022-12-01,11
PCEC96_perc_diff_lag_1,2022-12-01,17
PCEC96_diff_lag_1,2022-12-01,11
INVCMRMT_diff_lag_1,2022-12-01,18
TCU,2022-12-01,19
TCU_diff_lag_1,2022-12-01,14
BOPTIMP_perc_diff_lag_1,2022-12-01,14
BOPTIMP_diff_lag_1,2022-12-01,19
PAYEMS_diff_lag_1,2022-12-01,33
RRSFS_perc_diff_lag_1,2022-12-01,12
RRSFS_diff_lag_1,2022-12-01,19
INDPRO_diff_lag_1,2022-12-01,14
INDPRO_perc_diff_lag_1,2022-12-01,15
BOPTEXP_diff_lag_1,2022-12-01,11
BOPTEXP_perc_diff_lag_1,2022-12-01,16
CPALTT01USM657N,2022-12-01,19
UNRATE_diff_lag_1,2022-12-01,24
AMDMVS_diff_lag_1,2022-12-01,17
DSPIC96_diff_lag_1,2019-05-01,11
DSPIC96_perc_diff_lag_1,2019-05-01,16
PCEC96_diff_lag_1,2019-05-01,16
PCEC96_perc_diff_lag_1,2019-05-01,16
INVCMRMT_diff_lag_1,2019-05-01,13
TCU,2019-05-01,13
TCU_diff_lag_1,2019-05-01,15
BOPTIMP_diff_lag_1,2019-05-01,17
BOPTIMP_perc_diff_lag_1,2019-05-01,12
PAYEMS_diff_lag_1,2019-05-01,18
RRSFS_perc_diff_lag_1,2019-05-01,11
RRSFS_diff_lag_1,2019-05-01,13
INDPRO_perc_diff_lag_1,2019-05-01,11
INDPRO_diff_lag_1,2019-05-01,18
BOPTEXP_diff_lag_1,2019-05-01,11
BOPTEXP_perc_diff_lag_1,2019-05-01,15
AMDMVS_diff_lag_1,2019-05-01,18
DSPIC96_diff_lag_1,2022-04-01,11
DSPIC96_perc_diff_lag_1,2022-04-01,11
PCEC96_perc_diff_lag_1,2022-04-01,17
PCEC96_diff_lag_1,2022-04-01,15
INVCMRMT_diff_lag_1,2022-04-01,14
TCU_diff_lag_1,2022-04-01,12
TCU,2022-04-01,19
BOPTIMP_perc_diff_lag_1,2022-04-01,19
BOPTIMP_diff_lag_1,2022-04-01,22
PAYEMS_diff_lag_1,2022-04-01,36
RRSFS_perc_diff_lag_1,2022-04-01,19
RRSFS_diff_lag_1,2022-04-01,17
INDPRO_perc_diff_lag_1,2022-04-01,13
INDPRO_diff_lag_1,2022-04-01,17
BOPTEXP_perc_diff_lag_1,2022-04-01,15
BOPTEXP_diff_lag_1,2022-04-01,22
UNRATE_diff_lag_1,2022-04-01,16
UNRATE,2022-04-01,21
AMDMVS_diff_lag_1,2022-04-01,16
DSPIC96_perc_diff_lag_1,2020-03-01,15
DSPIC96_diff_lag_1,2020-03-01,12
PCEC96_diff_lag_1,2020-03-01,19
PCEC96_perc_diff_lag_1,2020-03-01,16
INVCMRMT_perc_diff_lag_1,2020-03-01,11
INVCMRMT_diff_lag_1,2020-03-01,17
TCU_diff_lag_1,2020-03-01,16
TCU,2020-03-01,14
PAYEMS_diff_lag_1,2020-03-01,11
RRSFS_perc_diff_lag_1,2020-03-01,14
RRSFS_diff_lag_1,2020-03-01,13
INDPRO_diff_lag_1,2020-03-01,20
INDPRO_perc_diff_lag_1,2020-03-01,16
CPALTT01USM657N,2020-03-01,21
UNRATE_diff_lag_1,2020-03-01,24
AMDMVS_diff_lag_1,2020-03-01,19
DSPIC96_diff_lag_1,2018-12-01,11
DSPIC96_perc_diff_lag_1,2018-12-01,17
PCEC96_perc_diff_lag_1,2018-12-01,18
PCEC96_diff_lag_1,2018-12-01,16
INVCMRMT_perc_diff_lag_1,2018-12-01,17
INVCMRMT_diff_lag_1,2018-12-01,19
TCU,2018-12-01,11
TCU_diff_lag_1,2018-12-01,17
BOPTIMP_diff_lag_1,2018-12-01,13
BOPTIMP_perc_diff_lag_1,2018-12-01,14
PAYEMS_perc_diff_lag_1,2018-12-01,11
RRSFS_diff_lag_1,2018-12-01,18
RRSFS_perc_diff_lag_1,2018-12-01,18
INDPRO_diff_lag_1,2018-12-01,13
BOPTEXP_perc_diff_lag_1,2018-12-01,14
BOPTEXP_diff_lag_1,2018-12-01,27
CPALTT01USM657N,2018-12-01,14
AMDMVS_diff_lag_1,2018-12-01,14
DSPIC96_perc_diff_lag_1,2022-07-01,12
PCEC96_diff_lag_1,2022-07-01,17
PCEC96_perc_diff_lag_1,2022-07-01,21
INVCMRMT_perc_diff_lag_1,2022-07-01,13
INVCMRMT_diff_lag_1,2022-07-01,12
TCU_diff_lag_1,2022-07-01,26
TCU,2022-07-01,17
BOPTIMP_diff_lag_1,2022-07-01,18
BOPTIMP_perc_diff_lag_1,2022-07-01,15
PAYEMS_diff_lag_1,2022-07-01,13
RRSFS_diff_lag_1,2022-07-01,17
RRSFS_perc_diff_lag_1,2022-07-01,11
INDPRO_perc_diff_lag_1,2022-07-01,11
INDPRO_diff_lag_1,2022-07-01,11
BOPTEXP_diff_lag_1,2022-07-01,12
BOPTEXP_perc_diff_lag_1,2022-07-01,15
CPALTT01USM657N,2022-07-01,12
UNRATE_diff_lag_1,2022-07-01,20
UNRATE,2022-07-01,27
AMDMVS_diff_lag_1,2022-07-01,11
DSPIC96_diff_lag_1,2022-10-01,12
PCEC96_diff_lag_1,2022-10-01,14
PCEC96_perc_diff_lag_1,2022-10-01,13
INVCMRMT_diff_lag_1,2022-10-01,11
INVCMRMT_perc_diff_lag_1,2022-10-01,19
TCU,2022-10-01,18
TCU_diff_lag_1,2022-10-01,22
BOPTIMP_diff_lag_1,2022-10-01,11
BOPTIMP_perc_diff_lag_1,2022-10-01,14
PAYEMS_diff_lag_1,2022-10-01,13
RRSFS_perc_diff_lag_1,2022-10-01,11
RRSFS_diff_lag_1,2022-10-01,14
INDPRO_perc_diff_lag_1,2022-10-01,11
INDPRO_diff_lag_1,2022-10-01,16
BOPTEXP_perc_diff_lag_1,2022-10-01,11
BOPTEXP_diff_lag_1,2022-10-01,20
CPALTT01USM657N,2022-10-01,14
UNRATE_diff_lag_1,2022-10-01,11
UNRATE,2022-10-01,11
AMDMVS_diff_lag_1,2022-10-01,15
DSPIC96_perc_diff_lag_1,2019-03-01,14
DSPIC96_diff_lag_1,2019-03-01,11
PCEC96_diff_lag_1,2019-03-01,17
PCEC96_perc_diff_lag_1,2019-03-01,17
INVCMRMT_diff_lag_1,2019-03-01,11
TCU,2019-03-01,22
TCU_diff_lag_1,2019-03-01,16
BOPTIMP_diff_lag_1,2019-03-01,14
BOPTIMP_perc_diff_lag_1,2019-03-01,19
PAYEMS_diff_lag_1,2019-03-01,27
RRSFS_diff_lag_1,2019-03-01,13
RRSFS_perc_diff_lag_1,2019-03-01,12
INDPRO_diff_lag_1,2019-03-01,15
INDPRO_perc_diff_lag_1,2019-03-01,13
BOPTEXP_perc_diff_lag_1,2019-03-01,16
BOPTEXP_diff_lag_1,2019-03-01,15
AMDMVS_diff_lag_1,2019-03-01,26
DSPIC96_perc_diff_lag_1,2018-10-01,15
DSPIC96_diff_lag_1,2018-10-01,20
PCEC96_perc_diff_lag_1,2018-10-01,17
PCEC96_diff_lag_1,2018-10-01,14
INVCMRMT_diff_lag_1,2018-10-01,19
TCU,2018-10-01,15
TCU_diff_lag_1,2018-10-01,20
BOPTIMP_diff_lag_1,2018-10-01,19
BOPTIMP_perc_diff_lag_1,2018-10-01,18
RRSFS_perc_diff_lag_1,2018-10-01,14
RRSFS_diff_lag_1,2018-10-01,13
INDPRO_perc_diff_lag_1,2018-10-01,11
INDPRO_diff_lag_1,2018-10-01,14
BOPTEXP_diff_lag_1,2018-10-01,12
BOPTEXP_perc_diff_lag_1,2018-10-01,15
CPALTT01USM657N,2018-10-01,16
AMDMVS_diff_lag_1,2018-10-01,13
DSPIC96_diff_lag_1,2018-04-01,13
DSPIC96_perc_diff_lag_1,2018-04-01,12
INVCMRMT_diff_lag_1,2018-04-01,17
TCU,2018-04-01,16
TCU_diff_lag_1,2018-04-01,11
BOPTIMP_diff_lag_1,2018-04-01,15
BOPTIMP_perc_diff_lag_1,2018-04-01,14
PAYEMS_diff_lag_1,2018-04-01,32
RRSFS_perc_diff_lag_1,2018-04-01,12
RRSFS_diff_lag_1,2018-04-01,17
INDPRO_diff_lag_1,2018-04-01,21
INDPRO_perc_diff_lag_1,2018-04-01,21
BOPTEXP_perc_diff_lag_1,2018-04-01,19
BOPTEXP_diff_lag_1,2018-04-01,11
CPALTT01USM657N,2018-04-01,14
AMDMVS_diff_lag_1,2018-04-01,15
INVCMRMT_diff_lag_1,2019-02-01,18
TCU_diff_lag_1,2019-02-01,11
TCU,2019-02-01,15
BOPTIMP_diff_lag_1,2019-02-01,15
BOPTIMP_perc_diff_lag_1,2019-02-01,11
PAYEMS_diff_lag_1,2019-02-01,12
RRSFS_perc_diff_lag_1,2019-02-01,14
RRSFS_diff_lag_1,2019-02-01,12
INDPRO_perc_diff_lag_1,2019-02-01,11
INDPRO_diff_lag_1,2019-02-01,21
BOPTEXP_diff_lag_1,2019-02-01,17
BOPTEXP_perc_diff_lag_1,2019-02-01,14
CPALTT01USM657N,2019-02-01,13
AMDMVS_diff_lag_1,2019-02-01,18
DSPIC96_diff_lag_1,2019-09-01,16
PCEC96_diff_lag_1,2019-09-01,21
PCEC96_perc_diff_lag_1,2019-09-01,25
INVCMRMT_perc_diff_lag_1,2019-09-01,13
INVCMRMT_diff_lag_1,2019-09-01,21
TCU,2019-09-01,18
TCU_diff_lag_1,2019-09-01,17
BOPTIMP_diff_lag_1,2019-09-01,18
BOPTIMP_perc_diff_lag_1,2019-09-01,20
PAYEMS_diff_lag_1,2019-09-01,22
RRSFS_perc_diff_lag_1,2019-09-01,18
RRSFS_diff_lag_1,2019-09-01,12
INDPRO_perc_diff_lag_1,2019-09-01,13
INDPRO_diff_lag_1,2019-09-01,11
BOPTEXP_perc_diff_lag_1,2019-09-01,18
BOPTEXP_diff_lag_1,2019-09-01,11
AMDMVS_diff_lag_1,2019-09-01,17
DSPIC96_diff_lag_1,2019-10-01,12
DSPIC96_perc_diff_lag_1,2019-10-01,11
PCEC96_diff_lag_1,2019-10-01,20
PCEC96_perc_diff_lag_1,2019-10-01,13
INVCMRMT_perc_diff_lag_1,2019-10-01,11
INVCMRMT_diff_lag_1,2019-10-01,15
TCU_diff_lag_1,2019-10-01,12
TCU,2019-10-01,11
BOPTIMP_diff_lag_1,2019-10-01,11
BOPTIMP_perc_diff_lag_1,2019-10-01,12
PAYEMS_diff_lag_1,2019-10-01,12
RRSFS_perc_diff_lag_1,2019-10-01,15
RRSFS_diff_lag_1,2019-10-01,13
INDPRO_diff_lag_1,2019-10-01,11
INDPRO_perc_diff_lag_1,2019-10-01,24
BOPTEXP_perc_diff_lag_1,2019-10-01,16
BOPTEXP_diff_lag_1,2019-10-01,14
CPALTT01USM657N,2019-10-01,14
AMDMVS_diff_lag_1,2019-10-01,11
DSPIC96_diff_lag_1,2022-08-01,13
DSPIC96_perc_diff_lag_1,2022-08-01,12
PCEC96_diff_lag_1,2022-08-01,13
PCEC96_perc_diff_lag_1,2022-08-01,16
INVCMRMT_perc_diff_lag_1,2022-08-01,16
INVCMRMT_diff_lag_1,2022-08-01,12
TCU,2022-08-01,20
TCU_diff_lag_1,2022-08-01,15
BOPTIMP_perc_diff_lag_1,2022-08-01,13
BOPTIMP_diff_lag_1,2022-08-01,16
PAYEMS_diff_lag_1,2022-08-01,15
RRSFS_diff_lag_1,2022-08-01,16
RRSFS_perc_diff_lag_1,2022-08-01,12
INDPRO_perc_diff_lag_1,2022-08-01,11
INDPRO_diff_lag_1,2022-08-01,14
BOPTEXP_diff_lag_1,2022-08-01,13
BOPTEXP_perc_diff_lag_1,2022-08-01,12
UNRATE,2022-08-01,17
UNRATE_diff_lag_1,2022-08-01,19
AMDMVS_diff_lag_1,2022-08-01,23
DSPIC96_perc_diff_lag_1,2022-09-01,14
DSPIC96_diff_lag_1,2022-09-01,12
PCEC96_perc_diff_lag_1,2022-09-01,17
PCEC96_diff_lag_1,2022-09-01,15
INVCMRMT_diff_lag_1,2022-09-01,12
INVCMRMT_perc_diff_lag_1,2022-09-01,16
TCU,2022-09-01,16
TCU_diff_lag_1,2022-09-01,29
BOPTIMP_diff_lag_1,2022-09-01,20
BOPTIMP_perc_diff_lag_1,2022-09-01,21
PAYEMS_diff_lag_1,2022-09-01,15
RRSFS_diff_lag_1,2022-09-01,15
RRSFS_perc_diff_lag_1,2022-09-01,16
INDPRO_perc_diff_lag_1,2022-09-01,11
INDPRO_diff_lag_1,2022-09-01,16
BOPTEXP_perc_diff_lag_1,2022-09-01,15
BOPTEXP_diff_lag_1,2022-09-01,12
CPALTT01USM657N,2022-09-01,13
UNRATE_diff_lag_1,2022-09-01,28
UNRATE,2022-09-01,13
AMDMVS_diff_lag_1,2022-09-01,18
DSPIC96_perc_diff_lag_1,2018-06-01,14
DSPIC96_diff_lag_1,2018-06-01,13
PCEC96_perc_diff_lag_1,2018-06-01,11
PCEC96_diff_lag_1,2018-06-01,11
INVCMRMT_diff_lag_1,2018-06-01,11
TCU_diff_lag_1,2018-06-01,16
TCU,2018-06-01,19
BOPTIMP_diff_lag_1,2018-06-01,17
BOPTIMP_perc_diff_lag_1,2018-06-01,14
RRSFS_diff_lag_1,2018-06-01,13
RRSFS_perc_diff_lag_1,2018-06-01,12
INDPRO_perc_diff_lag_1,2018-06-01,15
INDPRO_diff_lag_1,2018-06-01,17
BOPTEXP_perc_diff_lag_1,2018-06-01,20
BOPTEXP_diff_lag_1,2018-06-01,23
CPALTT01USM657N,2018-06-01,14
AMDMVS_diff_lag_1,2018-06-01,14
DSPIC96_perc_diff_lag_1,2018-08-01,11
DSPIC96_diff_lag_1,2018-08-01,19
PCEC96_perc_diff_lag_1,2018-08-01,19
PCEC96_diff_lag_1,2018-08-01,21
INVCMRMT_diff_lag_1,2018-08-01,11
TCU_diff_lag_1,2018-08-01,22
TCU,2018-08-01,12
BOPTIMP_diff_lag_1,2018-08-01,11
BOPTIMP_perc_diff_lag_1,2018-08-01,12
RRSFS_diff_lag_1,2018-08-01,13
INDPRO_diff_lag_1,2018-08-01,11
INDPRO_perc_diff_lag_1,2018-08-01,12
BOPTEXP_diff_lag_1,2018-08-01,20
BOPTEXP_perc_diff_lag_1,2018-08-01,22
CPALTT01USM657N,2018-08-01,14
AMDMVS_diff_lag_1,2018-08-01,16
DSPIC96_diff_lag_1,2021-09-01,15
DSPIC96_perc_diff_lag_1,2021-09-01,11
PCEC96_perc_diff_lag_1,2021-09-01,13
PCEC96_diff_lag_1,2021-09-01,15
INVCMRMT_diff_lag_1,2021-09-01,13
TCU_diff_lag_1,2021-09-01,17
BOPTIMP_diff_lag_1,2021-09-01,11
PAYEMS_diff_lag_1,2021-09-01,28
RRSFS_perc_diff_lag_1,2021-09-01,13
RRSFS_diff_lag_1,2021-09-01,11
INDPRO_diff_lag_1,2021-09-01,12
BOPTEXP_diff_lag_1,2021-09-01,13
CPALTT01USM657N,2021-09-01,19
UNRATE_diff_lag_1,2021-09-01,13
UNRATE,2021-09-01,25
AMDMVS_diff_lag_1,2021-09-01,18
DSPIC96_diff_lag_1,2022-03-01,11
DSPIC96_perc_diff_lag_1,2022-03-01,14
PCEC96_diff_lag_1,2022-03-01,13
PCEC96_perc_diff_lag_1,2022-03-01,13
INVCMRMT_diff_lag_1,2022-03-01,13
INVCMRMT_perc_diff_lag_1,2022-03-01,11
TCU,2022-03-01,17
TCU_diff_lag_1,2022-03-01,13
BOPTIMP_diff_lag_1,2022-03-01,11
BOPTIMP_perc_diff_lag_1,2022-03-01,12
PAYEMS_diff_lag_1,2022-03-01,29
RRSFS_diff_lag_1,2022-03-01,11
RRSFS_perc_diff_lag_1,2022-03-01,16
INDPRO_diff_lag_1,2022-03-01,15
INDPRO_perc_diff_lag_1,2022-03-01,11
BOPTEXP_diff_lag_1,2022-03-01,17
BOPTEXP_perc_diff_lag_1,2022-03-01,19
CPALTT01USM657N,2022-03-01,12
UNRATE,2022-03-01,16
UNRATE_diff_lag_1,2022-03-01,12
AMDMVS_diff_lag_1,2022-03-01,14
DSPIC96_perc_diff_lag_1,2020-09-01,14
DSPIC96_diff_lag_1,2020-09-01,16
PCEC96_diff_lag_1,2020-09-01,15
PCEC96_perc_diff_lag_1,2020-09-01,14
INVCMRMT_diff_lag_1,2020-09-01,12
TCU,2020-09-01,15
TCU_diff_lag_1,2020-09-01,18
BOPTIMP_diff_lag_1,2020-09-01,11
BOPTIMP_perc_diff_lag_1,2020-09-01,12
PAYEMS_diff_lag_1,2020-09-01,12
RRSFS_perc_diff_lag_1,2020-09-01,14
RRSFS_diff_lag_1,2020-09-01,12
INDPRO_diff_lag_1,2020-09-01,13
INDPRO_perc_diff_lag_1,2020-09-01,12
BOPTEXP_diff_lag_1,2020-09-01,20
BOPTEXP_perc_diff_lag_1,2020-09-01,14
